K,Call Option Price,Implied Volatility
70,30.7398,0.1571
71,29.7632,0.1571
72,28.7899,0.1571
73,27.8207,0.1571
74,26.8562,0.1571
75,25.8972,0.1570
76,24.9447,0.1570
77,23.9995,0.1570
78,23.0627,0.1570
79,22.1354,0.1570
80,21.2185,0.1570
81,20.3133,0.1570
82,19.4210,0.1570
83,18.5427,0.1569
84,17.6796,0.1569
85,16.8330,0.1569
86,16.0039,0.1569
87,15.1935,0.1569
88,14.4029,0.1569
89,13.6331,0.1569
90,12.8849,0.1569
91,12.1593,0.1569
92,11.4570,0.1569
93,10.7786,0.1569
94,10.1247,0.1569
95,9.4957,0.1569
96,8.8920,0.1569
97,8.3137,0.1569
98,7.7610,0.1569
99,7.2338,0.1569
100,6.7320,0.1569
101,6.2554,0.1569
102,5.8036,0.1569
103,5.3763,0.1569
104,4.9729,0.1569
105,4.5929,0.1569
106,4.2356,0.1569
107,3.9004,0.1569
108,3.5865,0.1569
109,3.2931,0.1569
110,3.0194,0.1569
111,2.7645,0.1569
112,2.5276,0.1569
113,2.3079,0.1569
114,2.1044,0.1569
115,1.9163,0.1569
116,1.7427,0.1570
117,1.5828,0.1570
118,1.4357,0.1570
119,1.3007,0.1570
120,1.1769,0.1570
121,1.0636,0.1570
122,0.9601,0.1570
123,0.8656,0.1570
124,0.7795,0.1570
125,0.7012,0.1570
126,0.6301,0.1570
127,0.5655,0.1570
128,0.5070,0.1570
129,0.4541,0.1570
130,0.4063,0.1570
